Interview,Differentiating frame,Collaborative,Radical technology,Incumbent dependent,Relevant experience,International presence,Commercial
ECM03,0,0,0,1,1,1,1
ECM04,1,0,1,1,1,1,1
ECM05,0,1,0,0,0,0,1
ECM08,0,0,0,0,1,0,0
ECM10,0,0,0,1,1,1,1
ECM13,1,1,1,1,1,0,1
ECM14,1,1,0,1,0,1,1
ECM17,0,0,0,1,1,1,1
ECM18,1,0,0,0,0,1,1
ECM21,0,0,0,1,1,1,1
EPS01,1,0,1,0,0,0,0
EPS03,1,1,0,1,0,0,0
EPS04,1,1,1,1,0,1,1
EPS05,1,1,0,1,0,0,0
EPS06,1,1,0,0,1,1,1
EPS07,0,1,1,1,1,0,0
EPS10,0,0,0,0,1,0,0
EPS11,0,1,0,1,1,1,1
EPS13,0,1,0,0,1,1,0
EPS14,1,0,0,0,0,1,1
EPS15PMC22,0,0,0,1,0,0,0
EPS16,0,1,0,0,0,1,0
EPS17PMC11,0,0,0,0,1,1,1
EPS19PMC17,1,0,1,0,1,1,1
PMC01,1,1,1,0,1,1,1
PMC02,0,0,0,0,1,1,1
PMC04,0,0,0,0,0,1,1
PMC12,0,0,1,0,1,0,0
PMC15,0,0,1,1,1,1,0
PMC18,0,0,0,0,1,1,1
